,league,season,fthg,ftag,odd_h,odd_d,odd_a,num of events type 1 for size 1,num of events type 2 for size 1,num of events type 3 for size 1,num of events type 4 for size 1,num of events type 5 for size 1,num of events type 6 for size 1,num of events type 7 for size 1,num of events type 8 for size 1,num of events type 9 for size 1,num of events type 10 for size 1,num of events type 11 for size 1,num of events type 12 for size 1,num of events type 13 for size 1,num of events type 14 for size 1,num of events type 15 for size 1
52,D1,2012,0,2,3.11,3.6,2.44,-5,2,0,0,0,0,0,-1,1,0,0,-2,1,0,0
53,E0,2012,0,2,2.37,3.4,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,E0,2012,3,1,1.69,3.8,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,D1,2012,0,1,2.31,3.7,3.3,0,1,3,3,0,0,0,-1,4,0,0,0,4,1,0
56,E0,2012,0,0,2.04,3.65,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,D1,2012,5,0,1.26,6.6,16.5,21,2,-3,-2,0,0,0,5,0,0,0,21,0,0,0
58,F1,2012,1,1,2.6,3.3,3.26,-11,-7,6,0,0,0,0,-5,3,-1,0,-10,3,0,0
59,E0,2012,0,1,1.46,4.59,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,D1,2012,5,3,1.63,4.3,6.2,15,11,-7,-3,0,0,0,9,1,-3,1,11,1,0,0
61,F1,2012,2,0,2.88,3.28,2.9,-17,-13,4,-2,0,1,0,-4,1,0,0,-14,1,1,0
62,F1,2012,1,2,4.3,3.36,2.1,-12,-7,3,-1,0,0,0,-2,-2,1,-1,-9,-2,0,0
63,F1,2012,1,1,1.89,3.45,5.4,8,9,-5,-2,0,0,0,3,2,1,0,5,2,0,0
64,E0,2012,0,1,2.54,3.2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,F1,2012,1,1,3.1,3.1,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,F1,2012,4,0,2.4,3.2,4,6,3,8,1,0,0,0,-8,3,0,-1,2,3,0,0
67,E0,2012,2,0,2.76,3.3,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,F1,2012,1,2,2.24,3.35,3.9,4,0,1,1,0,-1,0,-1,5,1,1,2,5,-1,0
69,F1,2012,2,1,1.67,4,7.5,6,3,-3,-3,0,0,0,3,-2,0,-1,3,-2,0,0
70,F1,2012,0,0,1.6,4.09,7.8,14,6,-7,-4,0,0,0,7,-2,0,0,7,-2,-1,0
71,D1,2012,1,1,2.31,3.7,3.3,4,-3,0,-5,0,0,1,-3,-5,-1,0,2,-5,0,0
72,E0,2012,1,1,2.94,3.35,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,E0,2012,2,3,4.9,3.9,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,D1,2012,2,4,2.46,3.68,3.15,3,1,0,-2,0,0,0,0,-1,0,0,5,-1,0,0
75,E0,2012,3,0,1.61,4.5,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,D1,2012,1,0,2.4,3.55,3.3,-5,1,0,-1,0,0,0,1,1,-2,0,-5,1,0,0
77,F1,2012,2,1,1.72,3.7,6.4,-7,-2,1,1,0,-1,0,-1,0,0,0,-6,0,-1,0
78,E0,2012,2,0,2.15,3.5,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,D1,2012,3,0,2.75,3.7,2.79,2,-1,-9,-2,0,0,0,8,1,-1,0,2,1,0,0
80,F1,2012,1,2,2.65,3.14,3.35,1,0,2,-1,0,0,0,-2,3,1,0,3,3,0,0
81,SP1,2012,1,2,2.08,3.5,4.2,11,6,2,3,0,-1,0,-3,1,1,1,7,1,0,0
82,D1,2012,1,2,2.36,3.7,3.25,6,-3,1,-1,0,0,0,-1,-2,2,0,7,-2,0,0
83,E0,2012,3,1,1.2,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,D1,2012,0,3,7.6,4.7,1.52,-11,-1,-3,2,0,1,0,3,-2,-2,2,-6,-2,1,0
85,D1,2012,0,0,3.4,3.65,2.29,3,2,-1,1,0,0,-1,-1,-1,-2,0,2,-1,0,0
86,SP1,2012,4,3,1.41,5.2,9.8,21,7,3,0,0,0,0,-3,2,-1,0,17,2,0,-1
87,E0,2012,0,1,3.36,3.35,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,D1,2012,1,0,1.76,4.01,5.45,2,1,-3,2,0,0,0,4,-1,-1,0,5,-1,0,0
89,F1,2012,2,1,2.06,3.35,4.5,12,9,-7,1,0,0,2,6,3,0,0,8,3,0,0
90,D1,2012,3,4,1.75,4.51,5.2,6,1,-1,-2,0,0,-1,1,7,0,1,4,7,0,0
91,SP1,2012,0,1,2.76,3.4,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,F1,2012,0,1,1.88,3.65,5.14,6,1,-2,0,0,0,0,1,-3,0,0,6,-3,0,0
93,F1,2012,0,0,2.2,3.2,4.22,-2,4,-5,-3,0,0,1,4,1,-1,0,-5,1,0,0
94,E0,2012,3,1,1.4,5.3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,E0,2012,0,0,2.14,3.4,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,F1,2012,4,1,1.84,3.55,6.05,18,8,-9,-3,0,0,-1,10,2,1,0,12,2,0,0
97,E0,2012,0,0,2.45,3.5,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,D1,2012,1,1,2.39,3.5,3.4,11,-1,-8,2,0,0,0,11,-3,1,0,7,-3,0,0
99,F1,2012,2,1,2.72,3.2,3.13,5,-1,3,-1,0,-1,0,-2,-1,0,-1,5,-1,-1,0
100,D1,2012,1,0,1.75,4,5.4,10,2,-2,-1,0,0,0,2,3,0,0,8,3,0,0
101,E0,2012,8,2,1.4,5.5,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,SP1,2012,0,6,12.33,6.2,1.3,-32,-2,1,1,0,0,0,-1,1,-1,0,-17,1,0,0
103,E0,2012,2,1,2.36,3.25,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,F1,2012,1,3,3.1,3.3,2.6,-1,2,2,2,0,0,0,-3,-3,0,0,0,-3,0,0
105,F1,2012,3,2,1.83,3.4,6,3,-5,-1,0,0,0,0,0,0,-1,-1,4,0,0,0
106,E0,2012,0,1,2.4,3.4,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,E0,2012,1,5,3.15,3.48,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,SP1,2012,2,1,2.24,3.65,3.53,9,-6,5,2,0,0,0,-7,-1,1,0,10,-1,0,0
109,SP1,2012,1,1,1.64,4,6.8,-3,5,0,-2,0,0,0,0,1,-2,0,-4,1,0,0
110,SP1,2012,1,1,2.16,3.4,4.2,-1,-3,9,2,0,0,0,-9,-3,0,0,-1,-3,0,0
111,F1,2012,3,2,2.24,3.3,3.95,-12,-1,3,-2,0,0,1,-4,0,-1,1,-9,0,0,0
112,SP1,2012,0,0,1.82,3.7,5.5,12,7,1,1,0,0,-1,-1,3,0,0,13,3,0,0
113,SP1,2012,1,0,2.27,3.4,3.8,2,1,7,-1,0,0,0,-7,3,-1,0,4,3,0,0
114,SP1,2012,5,0,1.18,8.8,21,12,12,3,0,0,0,0,-2,-1,-1,0,12,-1,0,0
