,league,season,fthg,ftag,odd_h,odd_d,odd_a,num of events type 1 for size 1,num of events type 2 for size 1,num of events type 3 for size 1,num of events type 4 for size 1,num of events type 5 for size 1,num of events type 6 for size 1,num of events type 7 for size 1,num of events type 8 for size 1,num of events type 9 for size 1,num of events type 10 for size 1,num of events type 11 for size 1,num of events type 12 for size 1,num of events type 13 for size 1,num of events type 14 for size 1,num of events type 15 for size 1
1819,F1,2012,1,2,8.8,3.7,1.63,-11,-7,4,1,0,0,0,-4,-4,0,0,-4,-4,0,0
1820,F1,2012,3,4,1.73,3.83,6.11,10,3,1,0,0,0,0,-1,1,0,0,7,1,0,-1
1821,F1,2012,4,1,1.38,5.6,10,-2,1,-4,0,0,0,2,5,-3,-1,1,-5,-3,0,0
1822,F1,2012,0,1,2.25,3.48,3.7,1,5,-2,1,0,0,1,1,1,-1,0,-2,1,0,0
1823,F1,2012,3,1,2,3.4,4.63,8,-1,-4,-2,0,0,1,4,0,-3,1,3,0,0,0
1824,F1,2012,0,2,2.29,3.52,3.6,2,0,8,1,0,0,0,-8,-3,-2,0,1,-3,0,0
1825,F1,2012,5,0,1.64,4.63,5.7,12,-2,9,0,0,-2,0,-10,0,0,1,11,0,-2,0
1826,F1,2013,1,1,2.18,3.25,4.2,-3,-3,-5,0,0,-1,0,7,6,0,0,-1,6,-1,0
1827,F1,2013,2,3,3.1,3.05,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1828,F1,2013,0,1,2.24,3.25,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1829,F1,2013,0,1,2.1,3.4,4.3,-3,2,-7,-5,0,1,0,7,-4,0,0,0,-4,1,0
1830,F1,2013,0,1,2.6,3.16,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1831,F1,2013,1,2,3.11,3.3,2.62,-1,2,10,0,0,0,-1,-11,0,1,0,-3,0,0,0
1832,F1,2013,2,3,3.45,3.2,2.6,-4,0,-5,0,0,0,0,5,-1,1,0,-5,-1,0,0
1833,F1,2013,2,2,1.38,5.4,11,7,6,-1,0,0,-1,1,1,3,1,1,9,3,-1,-1
1834,F1,2013,1,0,1.93,3.35,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1835,F1,2013,0,1,3.7,3.35,2.27,-3,3,7,1,0,0,2,-6,1,0,0,-5,1,0,0
1836,F1,2013,1,1,1.52,4.3,8.8,7,-2,0,-2,0,0,1,0,-2,0,0,6,-2,-1,0
1837,SP1,2013,2,1,2.25,3.4,3.8,3,2,0,1,0,0,0,1,4,1,0,2,4,0,0
1838,E0,2013,1,1,2.5,3.3,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1839,F1,2013,2,1,2.35,3.22,3.95,-2,0,2,1,0,0,-1,-2,7,-1,0,-1,7,0,0
1840,E0,2013,0,5,2.04,3.53,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1841,F1,2013,1,0,2.58,3.15,3.35,7,2,-2,-1,0,0,0,2,4,-1,0,5,4,0,0
1842,F1,2013,2,1,3.1,3.21,2.72,6,0,-11,-2,0,0,0,11,-3,1,0,5,-3,0,0
1843,SP1,2013,2,1,1.69,4.09,5.9,6,0,-2,0,0,0,0,1,3,0,1,6,3,0,0
1844,SP1,2013,0,1,2.42,3.45,3.4,0,-1,3,2,0,0,0,-3,0,1,0,-1,0,0,0
1845,F1,2013,4,1,1.48,4.59,9.19,18,7,6,2,0,-1,0,-6,-1,-1,1,11,-1,-1,0
1846,E0,2013,3,0,5,3.75,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1847,E0,2013,0,0,1.46,4.8,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1848,E0,2013,5,0,1.88,4.09,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1849,E0,2013,1,0,2.18,3.6,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850,F1,2013,2,1,1.71,3.75,6.6,21,15,-4,-2,0,-2,0,4,3,1,1,16,3,-2,0
1851,E0,2013,2,1,2.88,3.4,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1852,F1,2013,0,0,1.81,3.5,5.9,-3,2,-6,-2,0,0,0,6,1,0,0,-3,1,0,0
1853,SP1,2013,1,1,3.55,3.55,2.29,-5,-2,11,1,0,0,0,-11,0,-1,0,-8,0,0,0
1854,F1,2013,0,0,6,3.85,1.74,3,3,-2,1,0,-1,0,3,2,1,0,-3,2,-1,0
1855,SP1,2013,1,1,1.3,7,12.24,18,7,-6,-3,0,0,0,6,-1,0,0,16,-1,0,0
1856,E0,2013,3,2,1.15,9.6,26.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1857,E0,2013,0,2,5.09,3.77,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1858,F1,2013,1,0,2.29,3.32,3.9,-1,2,-1,0,0,0,0,1,0,-1,1,-3,0,0,0
1859,SP1,2013,5,1,1.09,13.96,38,12,8,-2,-1,0,0,0,3,0,0,0,11,0,0,0
1860,F1,2013,2,0,1.53,4.59,9.94,18,8,-2,0,0,0,-1,1,6,2,0,13,6,0,0
1861,SP1,2013,3,5,2.2,3.5,3.8,4,7,-7,0,0,0,0,6,4,1,0,2,4,0,0
1862,SP1,2013,2,0,2.1,3.5,4.03,-3,-2,2,-1,0,0,0,-2,-6,0,1,-1,-6,0,0
1863,E0,2013,1,0,4.09,3.65,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1864,SP1,2013,1,0,2.47,3.4,3.3,4,-2,2,2,0,0,0,-2,0,2,0,3,0,0,0
1865,SP1,2013,0,1,2.64,3.3,3.1,4,1,3,-3,0,0,1,-5,3,-2,1,5,3,0,0
1866,E0,2013,4,2,1.31,5.99,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1867,F1,2013,1,1,4.09,3.6,2.1,8,1,-2,0,0,0,1,2,-4,0,0,8,-4,0,0
1868,D1,2013,2,1,1.35,6.4,11.5,8,5,6,0,0,0,1,-6,0,-1,0,6,0,0,0
1869,F1,2013,2,2,2.8,3.15,3.11,-9,-4,4,1,0,0,0,-3,2,1,-1,-7,2,0,0
1870,F1,2013,1,0,2.24,3.4,4,1,-2,6,-4,0,0,0,-6,5,0,-1,-2,5,-1,1
1871,F1,2013,3,0,1.91,3.47,5.2,4,-6,6,-3,0,-1,0,-4,-1,1,0,0,-1,-1,1
1872,E0,2013,3,0,2.25,3.5,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1873,E0,2013,1,3,3.8,3.42,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1874,F1,2013,3,2,1.81,3.65,5.6,4,3,0,-3,0,-1,0,1,0,-1,0,4,0,-1,0
1875,SP1,2013,1,1,2.04,3.6,4.59,9,10,-6,-2,0,1,0,6,0,0,0,6,0,1,0
1876,D1,2013,0,1,2.04,3.9,4.09,-3,1,-7,1,0,0,0,7,7,1,1,-4,7,0,0
1877,E0,2013,3,2,1.32,6.04,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,D1,2013,0,1,2.42,3.4,3.35,-7,3,-6,2,0,0,0,3,3,0,0,-2,3,0,0
1879,I1,2013,2,0,1.42,5.03,11.92,8,-3,-9,-4,0,0,0,7,8,-1,1,7,8,0,0
1880,I1,2013,2,1,2.04,3.35,4.9,16,10,-2,1,0,0,0,3,0,1,0,12,0,0,0
1881,SP1,2013,1,2,1.71,4.3,5.73,-6,-2,-3,0,0,0,0,4,0,1,0,-6,0,0,0
1882,D1,2013,0,3,8.67,5,1.47,-12,-2,7,0,0,0,-1,-6,1,1,0,-9,1,0,-1
1883,D1,2013,0,2,2.12,3.55,4.01,7,3,1,1,0,0,0,-1,1,0,0,5,1,0,0
1884,E0,2013,0,2,2.22,3.55,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1885,F1,2013,2,2,3.95,3.24,2.31,1,-3,7,1,0,0,0,-7,0,-3,0,1,0,0,0
1886,E0,2013,1,1,1.65,4.2,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887,D1,2013,1,1,2.78,3.45,2.8,0,2,3,-2,0,0,0,-2,-2,-2,1,1,-2,0,0
1888,E0,2013,1,1,2.42,3.65,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1889,F1,2013,0,1,2.45,3.1,3.81,-3,-4,2,-2,0,1,2,-1,1,-1,0,-5,1,1,0
1890,E0,2013,2,0,1.51,4.7,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1891,SP1,2013,1,2,1.84,3.7,5.25,-1,2,-5,2,0,0,0,5,-1,-1,1,4,-1,1,0
1892,D1,2013,2,1,2,3.75,4.24,-7,2,4,2,0,0,0,-4,-3,-1,0,-7,-3,0,0
1893,SP1,2013,2,1,2.14,3.55,3.9,0,0,4,3,0,0,0,-4,1,-2,0,0,1,0,0
1894,D1,2013,2,1,3,3.7,2.48,0,-1,-5,-1,0,0,1,7,-5,-1,0,-3,-5,0,0
1895,I1,2013,0,3,3.35,3.42,2.42,7,1,-1,0,0,0,0,4,1,1,0,1,1,0,0
1896,SP1,2013,2,1,10.5,6.2,1.35,-4,-4,2,2,0,-1,0,-1,-1,-1,0,0,-1,-1,0
1897,F1,2013,0,1,2.54,3.13,3.55,-5,0,1,-1,0,0,0,-2,1,1,0,-6,1,0,0
1898,E0,2013,0,0,3.4,3.41,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899,I1,2013,0,0,2.46,3.2,3.5,-3,-1,-5,-1,0,0,0,6,3,-1,0,-5,3,0,0
1900,I1,2013,2,0,2.64,3.15,3.3,-2,-3,7,-3,0,0,0,-7,-3,1,1,-4,-3,0,0
1901,I1,2013,0,1,1.55,4.21,8.5,12,5,5,-3,0,0,0,-6,-1,-1,0,7,-1,0,0
1902,D1,2013,2,2,3.85,3.75,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,SP1,2013,1,2,16.39,7.7,1.24,2,-3,7,3,0,1,0,-8,-4,-1,0,-2,-4,1,0
1904,F1,2013,4,0,1.61,3.88,7.9,5,2,-1,-1,0,0,0,3,0,1,0,5,0,0,0
1905,I1,2013,0,3,4.2,3.4,2.15,-2,8,-8,2,0,0,0,6,0,1,0,-5,0,0,0
1906,SP1,2013,1,1,2.98,3.52,2.64,8,6,2,1,0,-1,0,-1,-2,0,1,4,-2,-1,0
1907,F1,2013,0,0,1.64,4,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,I1,2013,2,2,1.5,4.65,8.31,7,8,-3,1,0,0,0,0,-2,1,0,8,-2,0,0
1909,SP1,2013,3,3,1.47,4.9,8.34,0,-7,4,5,0,0,0,-6,3,-1,-1,2,3,1,0
1910,I1,2013,0,1,2.76,3.25,3,-2,3,-2,-3,0,0,0,2,3,-3,0,-6,3,0,0
1911,E0,2013,2,2,3.15,3.45,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,I1,2013,2,0,2.1,3.25,4.59,2,0,0,0,0,-1,0,1,1,0,0,1,1,-1,0
1913,SP1,2013,2,0,1.97,3.6,4.59,8,6,3,-6,0,0,0,-1,2,-2,0,7,2,-1,0
1914,SP1,2013,4,0,1.59,4.59,6.4,17,6,-2,0,0,0,0,1,1,1,-1,14,1,0,0
1915,D1,2013,0,1,1.88,3.8,5,4,8,-7,-2,0,0,0,6,-2,0,0,3,-2,0,0
1916,F1,2013,1,3,4.76,3.4,2,2,-1,4,-1,0,0,0,-4,2,-1,-1,4,2,0,0
1917,E0,2013,2,0,3.45,3.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,F1,2013,3,2,1.84,3.65,5.56,2,-4,0,0,0,0,0,1,-1,1,1,3,-1,0,0
1919,D1,2013,2,0,2,3.9,4.59,4,1,-8,-1,0,0,0,8,-1,-3,2,0,-1,0,0
1920,F1,2013,0,3,2.52,3.35,3.25,7,6,-2,2,0,0,0,2,-2,0,0,2,-2,0,0
1921,SP1,2013,1,1,2.06,3.61,4.2,-3,0,-4,0,0,0,0,5,0,0,0,-3,0,0,0
1922,F1,2013,2,0,2.41,3.3,3.7,2,0,6,0,0,0,-1,-4,1,1,0,6,1,0,0
1923,E0,2013,2,2,2.06,3.65,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,I1,2013,1,3,4.65,3.65,2,-2,-7,-2,-3,0,0,0,2,-1,0,0,-4,-1,0,0
1925,E0,2013,3,0,2.74,3.41,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,F1,2013,1,1,1.65,3.85,7.6,9,3,-6,-1,0,0,1,7,-1,1,0,-2,-1,0,-1
1927,F1,2013,2,1,2.58,3.1,3.53,5,2,-5,-4,0,0,0,5,-2,-1,0,0,-2,0,0
1928,SP1,2013,0,1,3.33,3.35,2.48,0,-1,9,-3,0,0,0,-9,0,0,0,2,0,0,0
1929,D1,2013,0,0,3.38,3.4,2.44,-8,1,-7,1,0,0,0,6,2,0,0,-4,2,0,0
1930,D1,2013,0,4,2.42,3.45,3.45,-10,-3,-2,3,0,0,0,1,-2,-1,1,-7,-2,2,0
1931,I1,2013,3,0,1.89,3.4,5.6,15,5,-5,-1,0,-1,0,5,3,-1,1,14,3,-1,0
1932,E0,2013,1,1,1.4,5.46,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,SP1,2013,2,0,1.96,3.8,4.62,6,-2,-8,-3,0,0,0,10,2,0,0,6,2,-1,0
1934,SP1,2013,1,0,2.1,3.55,4,4,3,8,3,0,0,0,-9,-1,1,0,3,-1,0,0
1935,D1,2013,2,0,1.64,4.55,6.21,6,1,-2,0,0,0,-1,3,1,0,0,5,1,0,0
1936,D1,2013,3,1,1.38,5.6,11,-10,1,-2,-1,0,0,0,3,-2,0,0,-8,-2,0,0
1937,F1,2013,3,0,2,3.45,4.59,1,-1,-6,-1,0,0,2,7,0,2,1,2,0,0,0
1938,E0,2013,2,2,2.15,3.45,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,D1,2013,1,1,6,4.09,1.75,-12,-7,-5,0,0,0,0,5,0,0,0,-7,0,0,0
1940,E0,2013,3,1,1.2,8.5,19.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,I1,2013,2,1,1.78,3.7,5.9,-10,-2,4,0,0,0,0,-6,1,0,0,-7,1,0,0
1942,F1,2013,1,1,1.66,3.85,7.42,8,-2,-2,-3,0,1,0,1,-2,1,0,7,-2,1,0
1943,I1,2013,1,3,2,4,3.95,9,9,2,-2,0,0,0,-3,2,-2,0,7,2,-1,0
1944,D1,2013,0,4,1.98,3.9,4.16,-11,-3,6,3,0,0,0,-6,1,-1,0,-9,1,1,0
1945,SP1,2013,3,0,1.12,13,31,15,3,1,0,0,0,0,-2,6,-1,0,9,6,-1,0
1946,F1,2013,1,2,3,3.55,2.7,1,0,-6,-1,0,0,0,6,-2,2,0,4,-2,0,0
1947,SP1,2013,2,0,2.31,3.55,3.65,7,4,-1,-1,0,0,0,1,2,0,0,3,2,0,0
1948,E0,2013,1,1,1.69,4,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,I1,2013,1,4,5.6,3.61,1.84,-10,-2,-7,0,0,1,0,9,2,0,-1,-8,2,1,0
1950,SP1,2013,0,0,3.15,3.65,2.44,-5,-1,4,2,0,1,0,-5,0,2,-2,-5,0,1,0
1951,I1,2013,3,2,1.85,3.7,5.32,3,5,-2,1,0,0,0,1,0,-1,0,-4,0,0,0
1952,F1,2013,3,1,2.06,3.6,4.55,14,5,-3,1,0,0,0,2,0,0,0,12,0,0,1
1953,E0,2013,2,3,7.4,4.7,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,I1,2013,3,0,1.57,4.34,7.8,12,3,2,1,0,0,0,-3,0,0,0,9,0,0,0
1955,D1,2013,6,1,1.28,6.8,14,9,2,5,0,0,-1,0,-5,-1,0,0,7,-1,-1,0
1956,I1,2013,2,0,2.25,3.31,4.05,-4,-1,6,0,0,0,0,-6,-4,-1,0,-1,-4,0,0
1957,E0,2013,0,2,1.92,3.85,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,SP1,2013,3,2,2.42,3.4,3.5,3,4,10,-1,0,0,0,-9,1,-1,0,3,1,1,0
1959,I1,2013,2,1,1.96,3.45,5.09,2,10,-7,-2,0,0,0,8,-6,0,-1,2,-6,-1,0
1960,I1,2013,1,1,2.8,3.14,3.05,14,10,9,-1,0,0,0,-7,0,0,0,14,0,-1,0
1961,SP1,2013,1,0,1.26,7.26,13.82,8,0,-1,-2,0,0,0,2,0,0,0,8,0,0,0
1962,F1,2013,3,1,4.03,3.25,2.25,-8,-2,5,0,0,0,-1,-7,1,-1,0,-9,1,0,0
1963,F1,2013,2,0,1.51,4.5,9.19,-1,-3,2,2,0,0,0,-4,6,-1,0,0,6,0,0
1964,D1,2013,0,0,2.6,3.73,2.98,-4,2,-11,-1,0,0,0,11,3,0,0,-2,3,0,0
1965,F1,2013,0,1,1.51,4.59,8.26,5,0,-4,-1,0,1,1,4,0,2,0,6,0,1,0
1966,D1,2013,0,2,4.45,3.7,2,0,1,5,2,0,0,0,-3,0,-1,0,-4,0,0,0
1967,I1,2013,0,1,1.53,4.4,8.5,7,3,-5,-2,0,0,0,7,-1,0,0,4,-1,0,0
1968,E0,2013,1,1,6.1,3.9,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,D1,2013,3,1,1.27,7.3,18,14,6,-8,-1,0,0,-1,8,2,0,1,15,2,0,0
1970,F1,2013,1,1,5.05,3.63,1.9,-4,-5,-1,0,0,0,0,1,-1,-2,0,-4,-1,0,0
1971,E0,2013,6,1,1.38,5.6,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,SP1,2013,2,1,1.68,4.09,6.4,0,-3,2,1,0,0,0,-1,0,0,0,3,0,0,0
1973,I1,2013,1,1,2.52,3.32,3.4,-5,-1,-10,1,0,0,0,9,2,-1,0,-8,2,0,0
1974,F1,2013,4,2,2.02,3.25,5,0,4,-4,-1,0,0,-2,4,-1,-2,1,2,-1,0,0
1975,D1,2013,3,2,2.25,3.75,3.35,2,3,-4,2,0,0,1,1,-3,0,1,0,-3,1,0
1976,E0,2013,0,0,4.7,3.69,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,SP1,2013,3,1,1.66,4.09,6.7,7,0,-5,0,0,0,0,5,1,0,0,4,1,1,0
1978,F1,2013,3,0,2.54,3.42,3.2,-1,-3,-1,0,0,0,1,1,3,0,0,0,3,0,0
1979,E0,2013,4,0,1.33,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,E0,2013,1,1,3.8,3.7,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,D1,2013,2,3,1.95,3.6,4.7,3,-1,-4,0,0,0,0,4,0,-1,0,0,0,0,0
1982,F1,2013,0,0,3,3.2,2.8,0,4,-2,-2,0,0,-1,0,4,0,0,-3,4,0,0
1983,D1,2013,3,0,1.56,4.8,7.3,9,7,-4,-1,0,0,0,4,2,0,0,7,2,0,0
1984,E0,2013,3,0,2.25,3.5,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,D1,2013,0,0,1.75,4,5.53,6,3,8,1,0,0,0,-7,1,-1,0,6,1,0,0
1986,E0,2013,2,0,2.38,3.45,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,SP1,2013,1,0,5.6,4.7,1.73,-7,-1,8,0,0,0,0,-7,-2,1,0,-5,-2,0,0
1988,E0,2013,0,0,2.56,3.5,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,SP1,2013,1,4,8,5,1.52,-9,-6,1,0,0,0,0,-1,-4,2,-1,-7,-4,0,0
1990,I1,2013,0,2,3.05,3.36,2.74,3,5,5,0,0,0,0,-4,3,2,0,4,3,0,0
1991,SP1,2013,4,3,1.33,6,12.04,-4,-1,3,-4,0,0,0,-2,1,-1,1,-2,1,0,0
1992,F1,2013,1,2,1.98,3.45,5,6,2,0,-1,0,-1,0,1,2,-2,0,5,2,-1,0
1993,I1,2013,2,3,1.4,5.5,10,-1,-5,-5,2,0,0,0,5,-3,0,0,1,-3,0,0
1994,E0,2013,1,3,3.85,3.65,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,SP1,2013,3,3,2.5,3.5,3.2,0,-1,8,0,0,0,0,-8,0,-1,0,-1,0,1,0
1996,F1,2013,2,0,1.49,4.7,8.4,8,-2,-4,-1,0,0,0,4,1,0,0,8,1,0,0
1997,I1,2013,2,3,3.05,3.41,2.6,5,5,2,2,0,0,0,-3,-5,-2,0,3,-5,0,0
1998,SP1,2013,1,1,2.2,3.5,3.75,-1,4,0,-1,0,0,0,-2,6,1,0,-3,6,0,0
1999,F1,2013,0,1,4.2,3.4,2.18,-4,-4,0,2,0,0,2,0,-1,0,0,-6,-1,0,0
2000,I1,2013,3,1,1.64,4.05,7.2,-9,-5,2,-3,0,0,0,1,-2,-1,1,-7,-2,0,0
2001,I1,2013,2,2,2.52,3.25,3.3,6,2,4,-2,0,0,1,-4,-2,1,1,2,-2,-1,0
2002,I1,2013,2,0,1.91,3.62,5.3,7,1,1,1,0,0,0,-1,4,-2,0,10,4,0,0
2003,I1,2013,1,3,7.22,4.2,1.6,-7,-8,-3,-1,0,0,0,3,-1,0,-1,-8,-1,0,0
2004,SP1,2013,1,1,2.44,3.35,3.4,13,6,2,1,0,0,0,-2,0,-1,0,9,0,0,0
2005,D1,2013,3,2,1.85,4.33,4.7,3,1,-4,-1,0,-1,0,3,0,-1,0,5,0,-1,0
2006,I1,2013,1,3,2.9,3.27,2.86,-1,8,-7,1,0,0,0,8,1,0,1,-5,1,0,0
2007,SP1,2013,2,0,1.81,3.85,5.3,-5,-2,-3,2,0,0,0,3,0,-1,1,-5,0,0,0
2008,D1,2013,5,3,2.25,3.65,3.45,14,9,-6,-3,0,0,0,6,0,-1,0,10,0,0,0
2009,SP1,2013,0,1,2.08,3.68,4,2,2,-2,-1,0,0,0,3,1,0,0,0,1,0,0
2010,E0,2013,2,2,1.57,4.75,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,F1,2013,1,1,2.06,3.52,4.3,0,-6,2,-2,0,0,0,-2,3,-1,0,1,3,0,0
2012,D1,2013,1,2,2.25,3.65,3.55,4,2,-4,-2,0,0,0,5,2,-3,0,3,2,0,0
2013,F1,2013,1,1,1.8,3.8,5.6,9,10,-3,2,0,1,0,3,0,0,0,7,0,1,0
2014,E0,2013,0,3,3.4,3.35,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,F1,2013,3,1,2.36,3.35,3.55,11,-1,-7,0,0,-1,-1,9,-8,0,1,7,-8,-1,0
2016,D1,2013,0,0,2.44,3.5,3.25,0,-3,-3,0,0,0,1,4,-3,0,0,0,-3,0,0
2017,F1,2013,2,1,3.1,3.3,2.8,2,0,-1,0,0,-1,0,-1,-4,1,1,-1,-4,-1,0
2018,SP1,2013,2,1,2.04,3.6,4.17,8,0,2,1,0,-1,0,-2,0,-1,0,8,0,-1,0
2019,I1,2013,1,1,2.76,3.32,2.96,-1,-2,14,1,0,1,0,-14,-2,-1,-1,-1,-2,1,0
2020,E0,2013,4,1,2.36,3.55,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,D1,2013,1,1,1.97,3.7,4.42,0,5,-2,-2,0,0,0,3,2,1,0,0,2,0,-1
2022,F1,2013,2,2,2.2,3.33,4.12,0,2,-7,0,0,0,0,8,0,1,0,0,0,0,0
2023,I1,2013,2,0,1.4,5.4,12,21,3,2,-2,0,0,0,-4,1,0,0,16,1,0,0
2024,D1,2013,3,2,7.2,4.76,1.57,-21,-8,12,2,0,0,1,-12,3,-1,0,-13,3,0,0
2025,E0,2013,1,0,1.7,4.2,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,E0,2013,1,0,1.42,5.09,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,D1,2013,2,0,2,3.6,4.4,0,-2,3,-2,0,0,0,-5,-2,1,0,-1,-2,0,0
2028,E0,2013,1,1,2.08,3.55,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,D1,2013,0,2,3.46,3.75,2.25,1,-1,-3,2,0,0,0,4,-3,1,0,-2,-3,0,0
2030,SP1,2013,2,0,1.12,11.69,36,14,9,-6,-3,0,0,0,6,3,2,0,10,3,0,1
2031,E0,2013,1,2,2.45,3.45,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,SP1,2013,1,0,1.85,3.9,5.09,4,6,11,0,0,0,0,-11,-1,0,0,3,-1,-1,0
2033,F1,2013,0,4,5.9,3.75,1.8,1,7,3,-2,0,0,1,-5,0,-2,0,-2,0,0,0
2034,SP1,2013,3,1,2.42,3.35,3.45,0,-1,2,0,0,0,0,-3,3,3,1,-2,3,0,1
2035,F1,2013,2,0,2.4,3.27,3.6,-13,-1,4,1,0,0,2,-3,2,1,1,-13,2,0,0
2036,E0,2013,1,2,2.78,3.3,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,I1,2013,0,1,1.7,4.05,6.1,16,8,3,0,0,0,0,-3,0,2,0,14,0,0,0
2038,I1,2013,0,2,1.57,4.24,8.6,15,2,7,-3,0,0,0,-7,2,0,0,11,2,0,0
2039,SP1,2013,2,0,3,3.51,2.58,-20,-9,4,0,0,0,0,-7,-1,2,0,-8,-1,0,0
2040,E0,2013,1,0,1.78,4.09,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,F1,2013,2,2,1.55,4.2,8.8,3,-5,-1,2,0,0,0,1,-7,0,0,7,-7,0,0
2042,I1,2013,1,0,1.85,3.81,5.3,-1,1,-8,1,0,0,0,10,0,0,0,3,0,0,0
2043,F1,2013,1,0,1.47,4.9,9.66,1,-1,-11,-1,0,0,0,10,3,-1,0,2,3,0,0
2044,E0,2013,2,1,1.53,4.55,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,E0,2013,1,1,1.8,4.09,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,D1,2013,3,1,2.84,3.8,2.64,10,6,-5,0,0,0,0,6,2,0,0,9,2,0,-1
2047,I1,2013,1,1,1.88,3.69,5.09,9,11,15,-2,0,-1,0,-15,0,0,1,3,0,-1,0
2048,SP1,2013,2,1,2.6,3.35,3.1,-1,-1,6,-2,0,0,0,-8,1,3,1,0,1,0,0
2049,SP1,2013,0,0,2.67,3.5,3,-3,0,1,0,0,0,0,0,7,0,0,-4,7,0,0
2050,SP1,2013,2,1,1.43,5.09,9.5,10,5,-9,-4,0,0,0,7,3,0,1,9,3,0,0
2051,I1,2013,0,0,3.5,3.55,2.31,-14,-10,2,-1,0,1,0,-2,1,1,0,-8,1,1,0
2052,D1,2013,1,1,2.27,3.55,3.85,23,7,3,-4,0,0,-2,-4,3,-1,-1,14,3,0,0
2053,D1,2013,2,2,2.11,3.75,3.8,-1,0,5,2,0,1,0,-4,-6,1,0,-2,-6,0,0
2054,F1,2013,1,1,2.2,3.5,3.86,2,4,1,2,0,0,0,0,3,2,0,0,3,0,0
2055,I1,2013,1,1,2.4,3.23,3.65,3,2,-2,0,0,0,0,4,-1,-2,0,2,-1,0,0
2056,I1,2013,2,1,3.36,3.35,2.48,1,2,3,-3,0,0,-1,-3,1,-1,1,2,1,-2,0
