id_odsp,league,season,fthg,ftag,odd_h,odd_d,odd_a
6uBz2dY1/,D1,2012,1,0,1.75,4,5.4
Aa4VvaQR/,E0,2012,8,2,1.4,5.5,9.19
C88uY13B/,SP1,2012,0,6,12.33,6.2,1.3
GQE5zJYr/,E0,2012,2,1,2.36,3.25,3.65
IuG0DcmL/,F1,2012,1,3,3.1,3.3,2.6
MDMiFJI8/,F1,2012,3,2,1.83,3.4,6
OjIDYd3e/,E0,2012,0,1,2.4,3.4,3.4
p0J9Zxlk/,E0,2012,1,5,3.15,3.48,2.54
tvgGyp4n/,SP1,2012,2,1,2.24,3.65,3.53
UaoTYsl5/,SP1,2012,1,1,1.64,4,6.8
Uq3pXLIH/,SP1,2012,1,1,2.16,3.4,4.2
vBv3fxdk/,F1,2012,3,2,2.24,3.3,3.95
YkFhV8sD/,SP1,2012,0,0,1.82,3.7,5.5
zwnPZNYb/,SP1,2012,1,0,2.27,3.4,3.8
2mfCxQlt/,SP1,2012,5,0,1.18,8.8,21
jLzeUf2l/,D1,2012,1,4,4.34,3.65,2
W0scuwXc/,I1,2012,2,2,1.64,3.85,7.4
6qJCozm1/,E0,2012,0,2,2.8,3.64,2.74
8CDrVzmr/,D1,2012,1,0,1.83,3.9,5
8IIi5Zf1/,F1,2012,1,2,5.65,3.55,1.84
8z2lWuYN/,SP1,2012,1,0,1.97,3.95,4.09
bBByVmEG/,SP1,2012,4,2,1.09,14.2,37.6
CWQbQzXQ/,F1,2012,1,3,3.65,3.15,2.44
EeJm6Fue/,F1,2012,0,1,2.64,3.13,3.25
ID3RLfur/,F1,2012,1,1,2.54,3.19,3.4
IkBMWzY7/,E0,2012,0,5,9.41,5.5,1.39
IToDFeme/,D1,2012,1,2,1.45,4.9,9.19
ITPv8yBr/,F1,2012,3,1,3.31,3,2.76
KhMe4gA7/,F1,2012,0,1,1.7,3.9,6.99
n3jHEF21/,D1,2012,7,0,1.18,9.6,19
n9s9ZBao/,SP1,2012,2,2,2.54,3.6,3.26
nqCF8Xh2/,E0,2012,1,0,1.42,4.8,10.25
pKeGywAE/,D1,2012,3,0,1.85,3.95,4.7
pUU3mdIl/,E0,2012,1,0,4,3.49,2.16
QgkLDZH7/,D1,2012,2,0,1.74,4.2,5.3
ShK8nGXf/,E0,2012,1,2,6,4,1.69
vJhKQJeo/,SP1,2012,2,2,15.51,7.2,1.25
WGiCxJf8/,D1,2012,0,4,2.16,3.65,3.8
WxHLgbuL/,E0,2012,3,0,1.2,8.19,19
z5Kq7eQl/,F1,2012,0,0,1.7,3.85,6.6
zBNCeKA8/,E0,2012,2,2,2.02,3.55,4.59
zesOOHnH/,I1,2012,1,3,4.2,3.37,2.12
2c1hVamU/,SP1,2012,2,1,2.08,3.45,4.3
46NjSd2E/,F1,2012,0,0,3.1,3.06,3.09
Ait1vcn4/,I1,2012,4,3,4,3.45,2.16
ATFPhIfR/,E0,2012,0,1,2.96,3.48,2.86
bRgKW9q4/,SP1,2012,2,1,2.48,3.45,3.2
E1MGfvQE/,E0,2012,1,1,1.73,4,5.77
EotSNy2N/,I1,2012,2,2,1.86,3.65,5.3
hYAuU7TM/,SP1,2012,0,0,2.41,3.46,3.46
IXgOZGvR/,D1,2012,2,1,3.56,3.9,2.73
jiZlsa2o/,I1,2012,4,1,1.79,4.18,7.66
KzeGXkUc/,SP1,2012,1,0,1.89,4,5.4
lxhhtJHi/,I1,2012,0,2,3.25,3.46,2.46
QFOnTxm8/,F1,2012,1,0,1.79,3.7,6.8
tjqPVTbA/,SP1,2012,0,0,2.15,3.65,3.75
tYsKPcXA/,I1,2012,0,0,2.27,3.18,4
vRp5wH1A/,I1,2012,1,2,1.77,4.03,7.14
vseKzcPK/,D1,2012,1,2,2.84,3.64,2.9
WMzXMeHT/,I1,2012,2,0,1.68,3.7,7.4
YuSfRGHK/,F1,2012,1,0,1.37,5.4,14.16
YVMbIFPp/,I1,2012,2,2,1.89,3.55,5.2
QatDYVEi/,SP1,2012,4,0,1.53,4.5,7.6
S82ilx3r/,E0,2012,0,0,2.54,3.34,3.25
lb7VXT8t/,D1,2012,1,2,3.8,3.83,2.08
04PCiQzK/,E0,2012,3,1,1.53,4.4,8.5
0KXFpf27/,E0,2012,1,1,1.95,3.55,4.8
2TeFpTD3/,SP1,2012,0,1,3.15,3.45,2.54
44O5XGV2/,E0,2012,3,0,2.86,3.35,2.84
8U26nkqi/,SP1,2012,1,0,1.56,4.41,7.2
bD0suznK/,F1,2012,3,0,2.02,3.4,4.8
CIiCOoip/,SP1,2012,0,1,3.65,3.5,2.25
CKtIYXOm/,F1,2012,4,0,1.79,3.55,6
CYq2kdvE/,D1,2012,1,1,2.74,3.75,2.7
EXndVh9j/,I1,2012,0,0,1.97,3.76,4.42
I11QzFoT/,I1,2012,2,1,1.68,3.8,7
j9jGN56j/,SP1,2012,8,0,1.1,13,35
jsS3q2r0/,E0,2012,0,3,2.2,3.4,3.95
K46Ao9bc/,SP1,2012,1,0,2.82,3.4,2.89
lboqICv7/,F1,2012,2,2,1.46,4.59,9.6
n1L8h6LD/,E0,2012,1,2,1.88,3.75,4.9
przaTEHf/,D1,2012,1,4,1.41,5.43,9.4
rc0vW7wg/,D1,2012,3,1,1.97,3.95,4.13
roxEZD9s/,F1,2012,3,2,2.58,3.17,3.35
SlpmHWgD/,F1,2012,3,0,2.06,3.3,4.7
tAT7Rhn7/,D1,2012,0,1,2.6,3.65,2.88
UeVsKY9f/,F1,2012,2,2,3.1,3.08,2.84
vBWJqEHD/,E0,2012,4,3,4,3.7,2.12
WMdzXmOn/,D1,2012,3,1,2.96,3.51,2.62
xKarVRha/,D1,2012,2,2,1.59,4.37,7
zZVwLEfl/,F1,2012,1,1,1.9,3.47,5.3
4bcMyeWM/,I1,2012,0,2,2,3.35,4.8
8nUoJhP0/,F1,2012,2,2,4.3,3.35,2.1
AgaNr7rG/,SP1,2012,2,1,2.44,3.3,3.4
bov3SYW0/,D1,2012,0,2,4.76,3.95,1.85
CpxqkfoG/,I1,2012,2,0,2.31,3.29,3.75
dKSaprTg/,E0,2012,4,0,2.94,3.43,2.7
dzBrn4bs/,E0,2012,3,1,2.06,3.61,4.09
EB5moODm/,E0,2012,4,0,2.48,3.25,3.4
fROGjpjQ/,E0,2012,2,2,5.3,3.85,1.81
GIrziGG3/,I1,2012,2,1,2.34,3.2,3.9
h2MZsRcM/,SP1,2012,0,1,1.98,3.65,4.4
K0SBQC1D/,D1,2012,2,1,4.59,4.04,1.9
MeqWid1c/,I1,2012,3,1,2.6,3.3,3.25
MZ7HxyHG/,I1,2012,1,0,2.27,3.52,3.6
pAdwtGWD/,F1,2012,2,0,2.4,3.3,3.6
r5pShxni/,I1,2012,1,2,1.95,3.4,5
tKfJqmT9/,SP1,2012,2,3,2.04,3.5,4.4
txjnvf1Q/,F1,2012,1,1,1.74,3.6,6.6
ULnvjzW9/,I1,2012,0,1,4.2,3.15,2.24
WO9qTRrT/,SP1,2012,4,0,1.46,4.9,8.6
zRBvsoDS/,SP1,2012,1,0,13,6.5,1.3
