league,season,fthg,ftag,odd_h,odd_d,odd_a,num of events type 1 for size 1,num of events type 2 for size 1,num of events type 3 for size 1,num of events type 4 for size 1,num of events type 5 for size 1,num of events type 6 for size 1,num of events type 7 for size 1,num of events type 8 for size 1,num of events type 9 for size 1,num of events type 10 for size 1,num of events type 11 for size 1,num of events type 12 for size 1,num of events type 13 for size 1,num of events type 14 for size 1,num of events type 15 for size 1,num of events type 1 for size 2,num of events type 2 for size 2,num of events type 3 for size 2,num of events type 4 for size 2,num of events type 5 for size 2,num of events type 6 for size 2,num of events type 7 for size 2,num of events type 8 for size 2,num of events type 9 for size 2,num of events type 10 for size 2,num of events type 11 for size 2,num of events type 12 for size 2,num of events type 13 for size 2,num of events type 14 for size 2,num of events type 15 for size 2
F1,2012,1,0,2.1,3.6,4,16,4,13,1,0,0,3,17,0,1,0,9,0,0,0,11,1,16,3,0,0,3,13,5,2,0,7,5,0,0
SP1,2012,4,0,2.76,3.55,2.76,16,5,15,3,0,0,3,17,3,0,0,12,3,0,0,4,3,17,5,0,0,3,15,5,2,0,3,5,0,0
F1,2012,2,1,1.78,3.54,6.5,19,12,12,1,0,0,2,13,2,0,0,15,2,0,0,5,0,14,1,0,0,2,12,1,2,1,5,1,0,0
SP1,2012,1,0,2.29,3.5,3.5,8,2,21,3,0,1,3,8,4,3,0,7,4,1,0,10,4,8,3,0,0,3,20,0,2,0,7,0,0,0
F1,2012,0,3,2.02,3.3,5.25,22,9,14,1,0,0,2,8,0,1,1,15,0,0,0,8,5,8,1,0,0,3,14,1,1,0,6,1,0,0
SP1,2012,1,1,1.52,4.8,7.5,19,15,9,2,0,0,3,8,3,0,0,18,3,0,0,10,6,7,2,0,0,2,11,5,1,0,8,5,1,0
SP1,2012,1,0,1.7,4.09,6,10,3,10,1,0,0,3,7,2,0,0,9,2,0,0,5,3,7,2,0,1,3,10,1,0,0,4,1,1,0
F1,2012,2,1,3.7,3.25,2.38,19,5,14,1,0,0,3,17,4,0,0,16,4,0,1,13,8,18,1,0,0,3,13,5,4,0,10,5,0,0
SP1,2012,1,0,1.63,4.3,6.2,13,7,12,1,0,0,3,16,2,0,0,12,2,0,0,11,5,16,4,0,0,3,12,0,0,0,7,0,0,0
F1,2012,1,1,4.59,3.85,1.9,21,5,15,3,0,0,3,12,1,3,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F1,2012,2,2,2.64,3.25,3.2,10,7,19,2,0,0,2,13,2,1,1,8,2,0,0,19,4,13,3,0,0,3,18,2,0,0,14,2,0,0
SP1,2012,0,1,4.03,3.9,2,12,9,22,6,0,0,3,14,1,0,0,7,1,0,0,9,3,12,2,0,0,2,21,4,3,0,7,4,0,0
E0,2012,1,2,1.3,6.33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,2012,3,1,1.6,4.09,7.48,14,4,16,1,0,0,3,12,2,0,0,10,2,0,0,3,4,12,2,0,0,3,16,4,1,0,2,4,0,0
SP1,2012,5,1,3.2,3.6,2.4,12,7,9,2,0,0,3,10,5,0,0,11,5,0,0,15,7,10,2,0,0,3,9,2,0,0,13,2,0,0
F1,2012,3,0,2.54,3.4,3.15,11,3,21,1,0,0,3,11,4,0,0,8,4,0,0,16,7,11,1,0,0,3,22,2,1,0,10,2,0,0
F1,2012,1,1,1.53,4.5,7.95,16,9,15,1,0,0,3,23,1,2,0,11,1,0,0,5,0,22,2,0,0,3,14,3,1,1,4,3,0,0
D1,2012,0,0,1.9,4.09,4.33,15,3,10,0,0,0,3,18,1,0,0,12,1,0,0,11,6,19,1,0,0,2,10,1,1,0,9,1,0,0
D1,2012,1,2,1.6,4.34,6.8,11,9,12,3,0,0,3,14,0,0,0,10,0,1,0,15,5,14,2,0,0,3,13,1,0,0,14,1,0,0
I1,2012,2,0,1.23,7.2,16.23,25,7,14,1,0,0,3,13,1,0,0,20,1,0,0,8,5,12,1,0,0,3,14,2,0,0,6,2,0,0
E0,2012,0,0,2.2,3.45,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,2012,0,2,5.09,3.65,1.9,10,0,14,2,0,2,3,15,2,2,0,9,2,2,0,15,2,16,4,0,1,3,13,4,2,0,14,4,1,0
E0,2012,2,0,2,4,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP1,2012,1,1,1.56,4.51,6.96,22,11,8,3,0,0,3,18,1,0,1,16,1,0,0,7,2,17,5,0,0,3,8,0,0,1,6,0,0,0
E0,2012,1,0,3.85,3.56,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2012,1,1,2.54,3.4,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,2,0,1.47,4.8,9,18,6,14,1,0,0,3,7,2,0,0,13,2,0,0,4,2,7,1,0,0,2,14,3,1,0,3,3,0,0
E0,2012,3,0,1.72,3.95,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,1,1,4,4.09,2.02,19,9,12,0,0,0,2,16,3,0,0,14,3,0,0,11,4,16,2,0,0,3,12,1,1,0,9,1,0,0
F1,2012,1,0,1.46,4.7,9.53,12,5,25,2,0,0,2,20,3,0,0,11,3,0,0,7,2,20,2,0,0,2,26,4,1,0,4,4,0,0
F1,2012,0,1,4.18,3.15,2.22,9,2,17,2,0,0,3,20,3,1,0,8,3,0,0,9,4,21,4,0,0,3,18,1,1,1,4,1,0,0
E0,2012,2,1,1.88,3.8,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1,2012,3,0,2.2,3,4.86,12,1,16,3,0,0,3,14,7,0,2,7,7,0,0,9,8,13,2,0,0,3,16,3,0,0,6,3,0,0
F1,2012,2,1,2.42,3.29,3.45,7,2,17,3,0,0,1,17,2,0,1,3,2,0,0,16,6,15,3,0,0,3,17,2,3,1,9,2,0,0
E0,2012,0,0,2,3.85,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,0,1,2.45,3.65,3.12,15,6,11,1,0,0,2,10,1,1,0,10,1,0,0,10,0,10,0,0,0,3,12,1,0,1,8,1,0,0
D1,2012,1,1,2.2,3.65,3.7,12,2,16,0,0,0,3,18,1,1,0,7,1,0,0,7,3,19,1,0,0,3,16,3,2,0,6,3,0,0
F1,2012,1,0,2.18,3.36,4,10,3,12,0,0,0,3,13,2,1,1,8,2,0,0,5,2,13,4,0,1,3,12,1,1,0,3,1,2,0
F1,2012,2,1,2.76,3.2,3.02,11,3,12,2,0,0,3,19,4,0,0,8,4,0,1,18,7,20,5,0,0,3,13,1,0,0,12,1,0,0
D1,2012,1,2,3.75,3.68,2.16,15,4,14,0,0,0,2,10,6,0,0,12,6,0,0,16,2,10,0,0,0,3,15,2,0,0,11,2,0,1
SP1,2012,2,1,2.34,3.75,3.2,16,10,14,4,0,0,3,16,1,2,0,8,1,0,0,10,5,16,4,0,1,3,16,4,1,0,9,4,2,0
I1,2012,0,0,2.9,3.06,3.1,17,6,14,0,0,0,3,13,1,1,1,12,1,0,0,6,2,13,1,0,0,3,15,4,2,0,3,4,0,0
F1,2012,1,4,2.84,3.25,2.9,12,4,10,1,0,0,3,9,2,1,0,10,2,0,0,12,5,9,0,0,0,3,10,1,0,0,8,1,0,1
SP1,2012,1,0,1.85,3.95,4.7,12,8,17,3,0,0,3,15,3,0,0,10,3,0,0,11,2,13,3,0,0,3,17,2,0,0,10,2,0,0
I1,2012,2,0,2.48,2.88,4.34,7,5,16,3,0,0,3,14,1,0,0,7,1,0,0,7,4,14,2,0,0,3,18,2,0,0,4,2,0,0
SP1,2012,1,2,1.65,4.33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2012,4,4,1.4,5.09,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,2012,0,0,2.4,3.5,3.3,14,7,8,0,0,0,3,15,2,0,0,9,2,0,0,9,1,15,0,0,0,3,8,2,0,0,7,2,0,0
SP1,2012,1,1,2.52,3.7,3.4,18,6,10,3,0,0,3,14,1,0,0,14,1,0,0,13,1,12,2,0,0,3,10,2,0,0,10,2,0,0
I1,2012,4,0,1.47,4.8,8.6,19,3,12,1,0,0,3,8,4,0,1,15,4,0,0,4,4,7,1,0,1,3,12,3,1,0,3,3,1,0
F1,2012,3,2,1.62,4.2,6.8,15,6,6,0,0,0,3,10,7,0,0,10,7,0,0,10,7,10,3,0,0,2,6,1,4,0,9,1,0,0
SP1,2012,1,0,2.12,3.8,3.95,11,6,3,2,0,0,3,13,2,3,0,7,2,0,0,7,1,11,2,0,0,3,3,6,2,0,6,6,0,0
E0,2012,0,1,1.4,5.3,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,1,1,3.35,3.5,2.4,15,5,13,4,0,0,3,18,2,0,0,8,2,0,0,5,1,18,3,0,0,3,14,0,1,0,4,0,0,0
E0,2012,0,2,17,8.4,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP1,2012,0,1,3.7,3.6,2.21,9,5,7,2,0,0,3,11,2,0,0,8,2,0,0,7,8,11,2,0,0,1,8,4,1,0,5,4,0,0
D1,2012,0,0,2.1,3.67,4.25,17,5,13,0,0,0,2,17,1,1,0,14,1,0,0,11,3,17,1,0,0,3,13,2,0,0,7,2,0,0
I1,2012,1,1,1.27,6.43,15.72,20,7,16,3,0,0,3,7,3,0,0,16,3,1,0,9,1,8,2,0,0,3,16,3,0,0,5,3,0,0
F1,2012,6,1,1.41,5.09,9.88,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,2,5,0,0,0,1,11,0,2,0,4,0,0,0
SP1,2012,4,0,1.6,4.5,6.2,14,4,15,2,0,0,3,8,6,1,0,10,6,0,0,8,2,8,2,0,2,3,16,1,0,0,3,1,2,0
SP1,2012,3,1,1.65,4.3,6.3,16,6,14,3,0,0,3,11,5,0,0,13,5,0,0,13,4,8,2,0,0,3,14,2,0,0,9,2,0,0
I1,2012,1,1,1.76,3.8,5.8,16,7,13,2,0,0,3,15,2,0,0,11,2,0,0,16,4,15,2,0,0,2,15,0,3,0,11,0,0,0
I1,2012,0,0,2.9,3.7,2.98,8,4,11,3,0,0,2,10,4,1,0,6,4,0,0,8,3,10,3,0,0,2,11,3,0,1,8,3,0,0
I1,2012,2,2,2.8,3.2,3.12,10,4,12,3,0,0,3,20,4,3,0,9,4,0,0,16,4,20,1,0,0,3,13,2,1,0,13,2,0,0
I1,2012,1,4,2.31,3.25,4,22,7,11,3,0,0,3,18,1,3,0,12,1,0,1,12,0,18,2,0,0,3,12,2,0,0,9,2,0,0
SP1,2012,1,1,3.05,3.65,2.48,12,6,9,2,0,0,2,12,3,0,0,9,3,0,0,13,8,11,1,0,0,3,9,2,0,0,10,2,0,0
I1,2012,1,0,2.04,3.25,5.2,14,8,15,2,0,0,2,16,4,0,0,12,4,0,0,9,4,15,2,0,0,3,15,4,0,0,7,4,0,0
I1,2012,3,0,2.16,3.55,4,27,8,16,1,0,0,3,15,1,1,0,20,1,0,0,16,2,14,1,0,0,3,17,2,0,0,12,2,0,0
E0,2012,1,2,2.2,3.5,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1,2012,0,1,19,7,1.23,9,3,11,4,0,0,3,14,1,1,1,8,1,0,0,27,15,14,3,0,0,3,11,3,3,0,19,3,0,0
I1,2012,2,1,4.8,3.5,2,15,2,16,3,0,0,3,19,3,1,0,12,3,0,1,18,5,18,4,0,0,3,16,4,1,0,13,4,0,0
I1,2012,0,2,3.45,3.5,2.35,5,1,16,3,0,0,3,17,3,0,0,3,3,0,0,9,2,15,3,0,0,3,16,3,0,0,8,3,0,0
I1,2012,1,2,2.92,2.78,3.31,13,3,20,3,0,0,3,18,2,2,0,12,2,0,0,10,4,18,1,0,0,3,19,7,1,0,6,7,0,0
I1,2012,1,1,2.36,2.54,5.35,9,7,15,3,0,0,3,8,3,1,0,6,3,0,0,4,2,8,0,0,0,3,17,1,0,0,3,1,0,0
I1,2012,1,0,1.24,7.28,17.3,15,9,11,3,0,0,3,14,3,0,0,7,3,0,0,5,1,13,3,0,0,3,12,1,0,0,3,1,1,0
I1,2012,1,3,2.46,3.45,3.25,18,6,7,2,0,0,3,14,3,1,0,17,3,0,0,13,4,14,1,0,0,3,9,1,0,0,11,1,0,0
I1,2012,1,2,1.79,3.9,5.6,15,6,16,3,0,1,3,11,5,1,0,10,5,1,0,12,3,11,4,0,0,3,16,3,1,0,8,3,0,0
F1,2012,2,1,2.6,3.4,3.2,10,3,13,1,0,0,2,13,4,0,1,7,4,0,0,8,6,13,3,0,0,3,13,2,2,0,7,2,0,0
F1,2012,0,1,2.75,3.35,2.99,15,1,20,2,0,0,2,13,1,1,1,12,1,0,0,12,7,14,2,0,0,2,20,2,1,0,8,2,0,0
E0,2012,2,2,2.02,3.65,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP1,2012,3,1,2.04,3.65,4.13,9,3,10,1,0,0,3,10,6,0,0,8,6,0,0,9,0,10,3,0,0,3,10,0,0,0,6,0,0,0
D1,2012,2,3,2.31,3.5,3.6,16,13,13,1,0,0,3,12,2,0,0,11,2,0,0,15,4,12,1,0,0,3,14,2,2,0,9,2,0,0
E0,2012,4,0,1.83,3.85,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP1,2012,3,0,1.49,4.86,8.31,17,5,12,1,0,0,3,16,5,1,0,15,5,0,0,14,5,15,5,0,0,3,12,1,1,0,10,1,0,0
D1,2012,4,0,1.43,5.75,8.11,22,6,10,1,0,0,3,12,0,0,0,19,0,0,0,7,4,11,1,0,0,3,10,2,0,0,5,2,0,0
E0,2012,0,0,2.25,3.5,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1,2012,1,1,2.57,3.1,3.5,13,4,18,2,0,0,3,12,3,2,0,12,3,0,0,14,6,12,3,0,0,3,17,3,1,0,12,3,0,0
SP1,2012,0,3,1.59,4.57,6.37,18,9,11,2,0,0,3,11,2,0,0,14,2,0,0,11,5,11,3,0,0,3,11,8,1,0,9,8,0,0
D1,2012,0,0,2.15,3.55,3.91,15,4,13,0,0,0,3,19,3,0,0,9,3,0,0,12,6,19,1,0,0,3,12,1,0,0,10,1,0,0
E0,2012,1,1,4.72,3.75,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2012,4,0,2.7,3.56,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP1,2012,1,3,1.96,3.7,4.55,11,7,7,4,0,0,3,16,1,1,0,9,1,0,0,16,3,15,3,0,0,3,7,2,0,0,12,2,0,0
D1,2012,3,1,2.02,4.2,3.75,13,6,22,2,0,0,3,12,1,3,0,12,1,0,0,11,5,12,3,0,0,3,21,1,0,0,11,1,0,0
D1,2012,2,5,7.25,4.7,1.53,11,1,6,1,0,0,3,5,2,1,0,8,2,0,1,16,2,5,1,0,0,3,6,5,2,0,15,5,0,0
SP1,2012,1,1,1.7,4,5.9,20,6,12,1,0,0,2,12,2,0,0,17,2,0,0,9,4,11,2,0,0,3,12,2,0,0,9,2,0,0
D1,2012,0,0,1.8,4,5,12,3,10,0,0,0,3,15,2,0,0,11,2,0,0,8,3,14,2,0,0,3,10,5,0,0,6,5,0,0
I1,2012,0,0,2.62,2.8,3.82,15,8,16,0,0,0,1,15,2,1,0,12,2,0,0,8,4,15,2,0,0,3,16,8,1,0,6,8,0,0
I1,2012,2,2,2.6,3.55,3.2,24,7,14,6,0,0,3,19,0,0,0,20,0,0,0,14,7,18,1,0,0,2,15,4,2,0,12,4,0,0
D1,2012,4,1,2.24,3.95,3.25,17,7,11,0,0,0,3,12,2,1,0,13,2,0,0,9,5,11,1,0,0,3,11,0,0,0,8,0,0,0
E0,2012,0,3,4.8,4.2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,1,0,2,3.8,4.25,12,3,11,1,0,0,3,12,3,0,0,11,3,0,0,8,7,12,0,0,0,2,12,7,0,0,7,7,0,0
D1,2012,2,0,1.78,4.3,5.3,15,6,12,1,0,0,3,13,1,0,0,12,1,0,0,8,6,13,1,0,0,3,11,1,1,0,6,1,0,0
E0,2012,4,4,1.56,4.59,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,2012,2,0,2.12,3.25,4.5,17,6,14,5,0,0,3,11,2,1,0,9,2,0,1,8,3,11,1,0,1,3,14,1,0,0,6,1,1,0
E0,2012,6,1,1.5,4.74,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1,2012,1,4,5.2,3.61,1.9,9,2,11,2,0,0,3,7,4,0,0,8,4,0,0,10,7,7,2,0,0,3,10,2,0,0,8,2,0,0
SP1,2012,2,0,2.8,3.45,2.83,21,7,13,1,0,0,3,11,0,0,0,13,0,0,0,8,6,11,2,0,0,3,13,1,0,0,2,1,0,0
I1,2012,2,0,2.2,3.3,4.09,13,4,15,5,0,0,3,20,2,1,0,10,2,0,0,5,2,19,2,0,0,3,14,0,2,0,4,0,0,0
I1,2012,2,0,2.93,2.48,4.65,16,3,11,4,0,0,3,13,4,1,0,10,4,0,0,17,2,12,2,0,0,3,11,0,1,1,14,0,0,0
F1,2012,1,0,1.76,3.8,5.8,14,6,16,4,0,0,2,9,1,1,0,14,1,0,0,9,2,8,2,0,0,3,16,4,0,0,4,4,0,0
SP1,2012,0,7,9,6,1.38,10,7,18,4,0,0,3,7,6,1,0,7,6,0,0,20,9,7,1,0,0,3,19,2,0,0,15,2,0,1
I1,2012,0,4,15.17,6.4,1.26,9,3,16,1,0,0,3,8,2,0,0,8,2,0,0,26,5,8,0,0,0,3,17,3,1,0,22,3,0,0
F1,2012,0,3,2.58,3.3,3.18,4,5,8,1,0,2,3,13,2,2,1,4,2,2,0,15,6,13,1,0,0,3,9,3,2,0,11,3,0,0
SP1,2012,2,2,3.91,3.65,2.12,9,3,17,4,0,0,3,14,2,0,0,8,2,0,0,22,10,14,2,0,0,3,19,2,3,0,12,2,0,0
F1,2012,2,1,2.13,4,3.5,13,3,13,2,0,0,2,18,2,2,1,9,2,0,0,9,9,18,3,0,1,3,14,4,2,0,7,4,1,0
E0,2012,2,0,1.35,6.2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP1,2012,3,0,1.2,8.6,18,15,9,12,3,0,0,3,6,3,2,0,14,3,0,0,10,4,5,2,0,0,3,12,1,1,0,9,1,0,0
I1,2012,1,2,1.97,3.81,4.4,16,6,10,3,0,0,3,20,5,0,0,13,5,1,0,14,7,19,2,0,0,3,10,3,0,0,10,3,0,0
I1,2012,3,2,2.62,3.15,3.3,9,3,9,1,0,0,3,21,4,1,0,7,4,0,0,12,11,21,4,0,0,3,11,7,1,0,10,7,0,0
SP1,2012,1,0,2.38,3.55,3.3,16,7,7,3,0,0,3,25,3,0,0,11,3,0,0,5,6,25,5,0,0,3,7,5,1,0,4,5,1,0
F1,2012,4,0,2.11,3.3,4.4,14,6,15,3,0,0,3,20,4,1,0,8,4,0,0,8,6,21,5,0,0,3,15,4,1,0,5,4,0,0
I1,2012,2,1,1.22,7.8,19.13,31,10,11,0,0,0,3,11,7,0,0,27,7,0,1,10,2,11,2,0,0,3,11,5,0,0,9,5,0,0
F1,2012,1,1,2.04,3.35,4.59,20,1,10,0,0,0,3,16,3,1,0,11,3,0,0,10,1,16,2,0,0,3,11,1,2,0,6,1,0,0
F1,2012,3,1,1.47,4.59,9.5,33,12,7,1,0,0,3,8,0,2,0,26,0,0,0,7,2,7,2,0,1,3,8,5,0,0,4,5,1,0
E0,2012,1,0,2.08,3.65,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1,2012,2,0,1.29,6.39,13.66,13,3,15,2,0,0,3,14,1,1,0,7,1,0,0,11,5,12,1,0,0,3,16,1,0,1,9,1,0,0
E0,2012,1,1,3.35,3.35,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2012,0,1,1.81,3.82,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP1,2012,2,1,1.98,3.8,4.2,17,7,8,0,0,0,3,13,2,0,0,12,2,0,0,9,9,12,1,0,0,3,9,2,0,0,7,2,0,0
F1,2012,2,2,1.43,4.7,9.86,25,11,10,1,0,2,3,14,3,2,2,19,3,2,0,7,2,14,3,0,2,3,10,1,1,0,7,1,2,0
I1,2012,0,0,3.6,3.6,2.34,7,2,17,4,0,0,3,10,10,1,0,6,10,0,0,13,4,10,3,0,0,3,16,2,1,0,10,2,0,0
SP1,2012,2,3,2.6,3.5,3.02,22,9,14,5,0,0,3,9,4,2,0,13,4,0,0,10,5,9,5,0,1,3,16,0,0,1,9,0,1,0
SP1,2012,1,1,1.43,5,9.5,9,4,24,4,0,0,3,16,0,0,1,5,0,0,0,11,5,14,3,0,0,3,23,2,0,1,8,2,0,0
E0,2012,0,2,1.49,4.91,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1,2012,2,0,1.27,6.45,15.86,18,4,12,0,0,0,3,5,2,0,0,16,2,0,0,9,2,5,0,0,0,3,12,6,0,0,7,6,0,0
SP1,2012,1,1,1.36,5.75,11,13,6,14,4,0,0,3,9,2,0,0,11,2,1,0,16,10,9,1,0,0,3,14,0,0,0,9,0,0,0
F1,2012,2,0,1.53,4.59,7.6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,7,10,3,0,0,3,12,0,2,1,6,0,0,0
I1,2012,2,1,1.99,3.45,4.68,8,7,14,1,0,0,3,14,5,0,0,5,5,0,0,16,4,14,0,0,0,3,13,0,0,0,14,0,0,0
SP1,2012,1,0,2.13,3.65,3.93,12,2,13,4,0,0,3,13,1,2,0,9,1,0,0,11,9,13,4,0,0,3,13,1,1,0,5,1,0,0
E0,2012,1,4,4.8,4.08,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1,2012,0,1,1.7,4,6.25,13,6,17,1,0,0,3,14,3,2,0,9,3,0,0,12,4,15,3,0,0,3,17,4,1,0,4,4,0,0
I1,2012,0,1,6.4,3.9,1.69,8,0,24,2,0,0,3,9,2,1,1,7,2,0,0,17,4,9,1,0,0,2,24,8,0,0,12,8,0,0
I1,2012,3,1,4.03,3.6,2.12,20,6,11,3,0,0,3,9,1,0,0,13,1,0,0,11,7,9,2,0,0,3,11,4,0,0,8,4,0,0
F1,2012,1,0,1.67,4.37,6.8,16,5,13,0,0,0,1,15,2,1,0,14,2,0,0,13,3,15,1,0,0,3,13,4,1,0,10,4,0,0
I1,2012,1,1,1.73,3.8,6.2,25,10,10,2,0,0,2,11,2,0,1,16,2,0,0,7,3,11,2,0,0,3,11,2,1,0,5,2,0,0
F1,2012,1,0,2.5,3.25,3.3,11,6,17,2,0,0,3,7,1,2,0,6,1,0,0,12,4,6,0,0,0,3,17,2,0,0,9,2,0,0
F1,2012,2,0,2.5,3.3,3.35,11,10,11,0,0,0,3,13,1,0,0,10,1,0,0,9,5,13,0,0,0,3,11,2,0,0,7,2,0,0
SP1,2012,4,0,1.44,4.99,9.4,23,16,8,1,0,0,3,10,8,0,0,17,8,0,0,11,2,11,5,0,1,3,8,1,0,0,6,1,1,0
I1,2012,2,2,1.48,4.5,9.6,16,8,17,4,0,0,2,18,3,1,1,11,3,0,0,7,2,18,4,0,0,3,19,4,0,1,6,4,0,0
F1,2012,0,0,3.3,3.15,2.63,10,2,19,0,0,0,3,12,2,0,0,6,2,0,0,8,6,10,0,0,0,2,18,2,0,1,4,2,0,0
F1,2012,0,1,4.7,3.6,1.95,7,6,19,2,0,0,3,8,1,2,0,3,1,0,0,9,0,8,3,0,0,1,19,1,1,0,8,1,0,0
F1,2012,2,1,2.25,3.34,4,14,7,12,3,0,0,3,16,4,0,1,10,4,0,0,8,4,16,1,0,2,3,13,0,3,1,6,0,2,0
SP1,2012,0,3,6.22,4.7,1.58,11,4,10,5,0,0,1,17,3,1,1,8,3,1,0,18,8,16,5,0,0,3,10,4,1,0,11,4,0,0
SP1,2012,1,2,1.7,4.3,5.53,12,9,16,5,0,0,3,13,2,1,0,10,2,1,0,15,3,13,4,0,0,3,17,0,1,0,11,0,0,0
F1,2012,4,1,1.73,3.87,6.19,9,2,17,2,0,0,3,16,2,1,0,7,2,0,0,13,5,16,2,0,0,3,19,3,0,1,9,3,0,0
I1,2012,1,1,1.17,9.43,26.8,17,6,14,1,0,0,3,12,2,0,0,11,2,0,0,4,2,11,6,0,0,3,15,1,0,0,0,1,1,0
SP1,2012,4,1,1.15,10.1,19.2,11,4,16,2,0,0,3,12,5,1,2,7,5,0,0,11,1,11,2,0,0,3,15,4,0,1,7,4,0,0
SP1,2012,1,0,2.12,3.55,3.95,20,9,13,2,0,0,3,8,2,1,0,16,2,0,0,15,4,8,4,0,0,3,13,2,0,0,9,2,0,0
F1,2012,0,2,2.82,3.35,2.92,10,5,13,2,0,0,2,13,2,0,0,5,2,0,0,8,6,13,3,0,0,3,13,0,1,0,7,0,0,0
SP1,2012,1,2,7,4.87,1.56,11,3,10,5,0,0,3,12,7,2,0,6,7,0,0,15,6,11,4,0,0,3,10,5,2,1,8,5,0,1
D1,2012,3,1,4,4.01,3.95,17,3,26,2,0,0,3,14,1,1,0,11,1,0,0,10,8,14,4,0,0,3,27,2,0,0,9,2,1,0
SP1,2012,4,0,1.14,11.5,22,14,5,11,4,0,0,3,21,5,1,1,8,5,0,0,10,3,19,5,0,0,3,12,7,1,1,6,7,0,0
SP1,2012,2,1,1.78,4.24,4.9,12,4,18,2,0,0,3,14,9,0,0,9,9,0,0,15,4,13,3,0,0,3,18,4,1,1,14,4,0,0
D1,2012,1,4,2.4,3.68,3.38,11,5,7,2,0,0,3,10,3,0,0,9,3,0,0,4,1,9,2,0,0,3,8,4,1,0,4,4,0,0
I1,2012,2,2,1.52,4.57,7.9,30,14,13,4,0,0,3,10,1,2,1,22,1,0,0,12,4,9,2,0,0,2,16,1,0,1,9,1,0,0
SP1,2012,5,2,1.94,3.61,4.7,16,5,12,3,0,0,3,9,2,0,1,12,2,0,0,13,5,9,5,0,0,3,12,7,0,1,8,7,0,0
